datetime, distance, distance_unit, total_consumed, regenerated_energy, engine_consumption, climate_consumption, onboard_electronics_consumption, battery_care_consumption
20221123, 41, km, 7221, 2060,  5565, 326, 1330, 0
20221124, 18, km, 2789, 1335,  2234, 115, 440, 0
20221126, 7, km, 1881, 634,  1121, 170, 590, 0
20221127, 418, km, 73990, 3999,  68647, 1413, 3930, 0
20221128, 14, km, 2996, 1126,  1897, 159, 940, 0
20221129, 18, km, 3235, 1279,  2267, 248, 720, 0
20221130, 4, km, 1008, 466,  615, 93, 300, 0
20221201, 57, km, 9491, 3072,  7759, 352, 1380, 0
20221202, 54, km, 10281, 3432,  7805, 666, 1810, 0
20221203, 38, km, 6963, 2371,  5497, 556, 910, 0
20221204, 154, km, 25672, 2536,  23245, 937, 1490, 0
20221205, 14, km, 3205, 1106,  1985, 330, 890, 0
20221206, 13, km, 2697, 896,  1677, 190, 830, 0
20221207, 8, km, 1839, 404,  1121, 148, 570, 0
20221208, 8, km, 1922, 637,  1031, 11, 880, 0
20221209, 34, km, 6912, 1743,  5087, 525, 1300, 0
20221210, 7, km, 1909, 663,  1207, 162, 540, 0
20221211, 5, km, 1250, 446,  785, 115, 350, 0
20221212, 45, km, 9087, 1776,  6945, 1112, 1030, 0
20221213, 21, km, 4899, 1396,  2883, 946, 1070, 0
20221214, 9, km, 2423, 982,  1349, 424, 650, 0
20221216, 12, km, 4092, 815,  1795, 1057, 1240, 0
20221220, 5, km, 1164, 339,  688, 116, 360, 0
20221221, 16, km, 3623, 1082,  2266, 317, 1040, 0
20221222, 16, km, 3209, 712,  2400, 139, 670, 0
20221223, 154, km, 23817, 4307,  21661, 286, 1870, 0
